batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_1,161,1,0.6083916083916086,5,0.43356643356643365,1,0.4685314685314686
batch_1,162,7,-0.25874125874125875,1,0.4755244755244756,4,0.8111888111888113
batch_1,163,3,0.27272727272727276,1,0.7762237762237763,7,0.034965034965034975
batch_1,164,5,-0.2517482517482518,1,0.8391608391608393,3,0.44755244755244755
batch_1,165,9,0.27272727272727276,1,0.7762237762237763,2,0.7482517482517484
batch_1,166,6,-0.08391608391608392,3,0.6993006993006995,1,0.6713286713286714
batch_1,167,1,0.8741258741258742,5,0.8041958041958043,1,0.7202797202797203
batch_1,168,2,0.2377622377622378,2,0.8531468531468532,2,0.8531468531468532
batch_1,169,1,0.46153846153846156,3,0.6923076923076924,5,0.2027972027972028
batch_1,16,3,0.6083916083916086,2,0.8391608391608393,1,0.7972027972027973
batch_1,170,9,-0.2027972027972028,1,0.6643356643356644,8,0.6293706293706295
batch_1,171,5,0.027972027972027972,2,0.6993006993006995,2,0.7552447552447553
batch_1,172,4,-0.21678321678321683,1,0.7482517482517484,6,0.5804195804195805
batch_1,173,1,0.6223776223776225,1,0.6433566433566434,9,0.2447552447552448
batch_1,174,9,-0.5594405594405596,2,0.4545454545454546,5,0.2447552447552448
batch_1,175,11,-0.4055944055944056,3,0.35664335664335667,1,0.5454545454545455
batch_1,176,6,-0.2027972027972028,3,0.7832167832167832,1,0.4755244755244756
batch_1,177,3,0.1958041958041958,2,0.6923076923076924,3,0.7342657342657343
batch_1,178,8,-0.49650349650349657,3,0.9160839160839163,4,0.006993006993006993
batch_1,179,3,0.5804195804195805,1,0.8741258741258742,8,0.4125874125874127
